num,Hc1zero,Hc2zero,Tc,b300,cohere,curiet,dHc2dt,debyet,dens,dtcdp,element,g300,gamma,gap,gapene,gapmeth,isoel,isotope,lata,latb,latc,moment,nHc1zero,nHc2zero,ncohere,ndHc2dto,neelt,npenet,pHc1zero,pHc2zero,pcohere,pdHc2dto,penet,ppenet,rh300,rh300n,rh300p,spheat,spjump,str3,thc300,tp300,tp300p,uHc1,uHc2,ub,ucohere,udHc2dt,udtcdp,ug,ugamma,ugap,uhall,ujump,umoment,upenet,uthc,utp,uye,ye300
2,,,29.0,,,,,,,,Ba0.2La1.8Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
3,,,26.0,,,,,,,,Ba0.1La1.9Ag0.1Cu0.9O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
4,,,19.0,,,,,,,,Ba0.1La1.9Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
5,,,22.0,,,,,,,,Ba0.15La1.85Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
6,,,23.0,,,,,,,,Ba0.3La1.7Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
7,,,23.0,,,,,,,,Ba0.5La1.5Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
8,,,11.0,,,,,,,,Ba1La1Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
11,,,33.0,,,,,,,,Sr0.1La1.9Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
12,,,36.0,,,,,,,,Sr0.15La1.85Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
13,,,31.0,,,,,,,,Sr0.2La1.8Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
14,,,33.0,,,,,,,,Sr0.3La1.7Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
15,,,26.0,,,,,,,,Ba0.3La1.7Hg0.3Cu0.7O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
17,,,27.0,,,,,,,,Ba0.1La1.9Ag0.05Cu0.95O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
18,,,27.0,,,,,,,,Ba0.1La1.9Ag0.1Cu0.9O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
19,,,26.0,,,,,,,,Ba0.1La1.9Ag0.25Cu0.75O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
20,,,27.0,,,,,,,,Ba0.1La1.9Ag0.5Cu0.5O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
21,,,82.0,,,,,,,,Y1Ba1.5Ca0.5Cu3O7-Z,,,,,,,,3.762,3.8939999999999997,11.697000000000001,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
22,,,30.0,,,,,,,,Ba0.15La1.85Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
23,,,30.0,,,,,,,,La1.85Ba0.15Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
24,,,39.0,,,,,,,,La1.85Sr0.15Cu1O4,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
36,,,14.8,,,,,,,,La1.95Sr0.05Cu1O4-Y,,,,,,,,3.7939999999999996,,13.210999999999999,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
37,,,30.0,,,,,,,,La1.9Sr0.1Cu1O4-Y,,,,,,,,3.786,,13.220999999999998,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
38,,,35.5,,,,,,,,La1.775Sr0.225Cu1O4-Y,,,,,,,,3.7710000000000004,,13.254000000000001,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
39,,,23.3,,,,,,,,La1.75Sr0.25Cu1O4-Y,,,,,,,,3.7739999999999996,,13.267000000000001,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
